Building_ID,Floor,Zone,Room_ID,Day_Type,Season,Indoor_Temperature_C,Outdoor_Temperature_C,Humidity_Percent,CO2_ppm,Occupancy,HVAC_Status,HVAC_Mode,HVAC_Setpoint_C,Lighting_Level_Percent,Equipment_Load_kW,Solar_Radiation_Wm2,Wind_Speed_mps,Electricity_Price_per_kWh,Renewable_Generation_kWh,Energy_Consumption_kWh,Carbon_Emission_kgCO2,Comfort_Score,Predicted_Energy_kWh,Recommended_HVAC_Setpoint_C,Expected_Energy_Saving_Percent,AI_Action,Hour,Day,Month,Year,DayOfWeek,WeekOfYear,Quarter,IsWeekend
B1,4,Zone-5,Room-105,Weekday,Winter,23.72,26.87,65.4,447,3,ON,Cooling,24,60,5.48,0.0,2.66,0.1,0.0,44.42,36.42,95.5,46.21,25,12,Reduce ventilation,0,1,1,2025,2,1,1,0
B1,5,Zone-1,Room-135,Weekday,Winter,23.73,26.58,47.3,468,4,ON,Cooling,24,60,5.92,0.0,2.54,0.1,0.0,47.53,38.97,98.1,45.6,25,12,Dim lighting,1,1,1,2025,2,1,1,0
B1,4,Zone-4,Room-111,Weekday,Winter,23.34,24.16,57.2,593,12,ON,Ventilation,24,60,6.66,0.0,1.33,0.1,0.0,51.31,42.07,95.3,50.88,24,8,Dim lighting,2,1,1,2025,2,1,1,0
B1,1,Zone-8,Room-150,Weekday,Winter,23.92,21.35,45.6,438,0,OFF,Ventilation,28,10,5.02,0.0,2.47,0.1,0.0,36.8,30.18,98.7,35.72,25,8,Dim lighting,3,1,1,2025,2,1,1,0
B1,1,Zone-5,Room-130,Weekday,Winter,24.07,19.58,51.7,416,0,OFF,Ventilation,28,10,4.64,0.0,3.98,0.1,0.0,34.18,28.03,99.3,34.25,25,8,Decrease HVAC setpoint,4,1,1,2025,2,1,1,0
B1,5,Zone-7,Room-101,Weekday,Winter,23.4,18.24,58.6,565,9,ON,Ventilation,24,60,6.67,0.0,3.47,0.1,0.0,43.49,35.66,95.3,44.51,25,12,Dim lighting,5,1,1,2025,2,1,1,0
B1,3,Zone-1,Room-141,Weekday,Winter,24.05,18.81,43.7,795,23,ON,Ventilation,24,60,8.92,0.0,2.6,0.1,0.0,57.18,46.89,98.5,55.65,24,8,Increase HVAC setpoint,6,1,1,2025,2,1,1,0
B1,1,Zone-2,Room-103,Weekday,Winter,24.29,16.42,62.7,678,17,ON,Ventilation,24,60,8.15,207.1,2.59,0.1,0.52,54.08,44.35,96.0,54.25,24,8,Reduce ventilation,7,1,1,2025,2,1,1,0
B1,5,Zone-6,Room-104,Weekday,Winter,25.06,17.95,55.9,1253,52,ON,Ventilation,24,90,14.45,400.0,5.05,0.1,1.0,85.09,69.77,72.9,85.79,24,8,Maintain settings,8,1,1,2025,2,1,1,0
B1,3,Zone-5,Room-135,Weekday,Winter,24.89,18.42,62.1,1389,62,ON,Ventilation,24,90,16.18,565.7,3.43,0.15,1.41,95.88,78.62,66.4,97.08,24,8,Dim lighting,9,1,1,2025,2,1,1,0
B1,5,Zone-6,Room-119,Weekday,Winter,23.83,17.43,61.3,1018,37,ON,Ventilation,24,90,12.13,692.8,2.82,0.15,1.73,72.59,59.52,87.0,72.33,24,8,Increase ventilation,10,1,1,2025,2,1,1,0
B1,3,Zone-6,Room-107,Weekday,Winter,24.39,18.59,55.4,1083,41,ON,Ventilation,24,90,12.01,772.7,2.83,0.15,1.93,73.84,60.55,84.1,73.23,24,8,Dim lighting,11,1,1,2025,2,1,1,0
B1,5,Zone-7,Room-108,Weekday,Winter,24.06,20.87,65.7,1147,44,ON,Ventilation,24,90,12.92,800.0,2.8,0.15,2.0,75.86,62.21,80.8,74.86,24,8,Increase ventilation,12,1,1,2025,2,1,1,0
B1,3,Zone-2,Room-145,Weekday,Winter,24.08,23.33,65.6,1140,46,ON,Ventilation,24,90,12.9,772.7,2.52,0.15,1.93,80.29,65.84,81.0,81.82,24,8,Dim lighting,13,1,1,2025,2,1,1,0
B1,1,Zone-6,Room-109,Weekday,Winter,24.5,23.93,47.1,1074,41,ON,Ventilation,24,90,12.38,692.8,3.83,0.15,1.73,77.74,63.75,84.5,77.49,24,8,Increase HVAC setpoint,14,1,1,2025,2,1,1,0
B1,5,Zone-1,Room-125,Weekday,Winter,24.58,26.5,44.0,1110,42,ON,Cooling,24,90,12.75,565.7,2.62,0.15,1.41,83.4,68.39,81.8,83.74,24,8,Reduce ventilation,15,1,1,2025,2,1,1,0
B1,2,Zone-8,Room-131,Weekday,Winter,24.26,28.4,52.4,1080,41,ON,Cooling,24,90,12.3,400.0,3.09,0.15,1.0,84.54,69.32,85.5,82.61,24,8,Increase ventilation,16,1,1,2025,2,1,1,0
B1,5,Zone-5,Room-129,Weekday,Winter,24.23,29.39,49.3,1195,47,ON,Cooling,24,90,13.16,207.1,3.2,0.15,0.52,89.0,72.98,80.8,89.07,24,8,Shift non-critical loads,17,1,1,2025,2,1,1,0
B1,4,Zone-3,Room-101,Weekday,Winter,23.47,30.8,66.8,412,0,ON,Cooling,24,10,5.36,0.0,3.03,0.18,0.0,46.19,37.88,94.0,45.43,25,12,Maintain settings,18,1,1,2025,2,1,1,0
B1,5,Zone-4,Room-138,Weekday,Winter,23.91,31.08,52.7,574,11,ON,Cooling,24,60,6.84,0.0,3.58,0.18,0.0,58.61,48.06,99.0,57.25,24,8,Increase HVAC setpoint,19,1,1,2025,2,1,1,0
B1,2,Zone-5,Room-109,Weekday,Winter,24.01,31.3,65.3,490,4,ON,Cooling,24,60,5.3,0.0,2.2,0.18,0.0,50.98,41.8,96.9,50.61,25,12,Maintain settings,20,1,1,2025,2,1,1,0
B1,5,Zone-1,Room-132,Weekday,Winter,24.16,29.92,50.1,554,8,ON,Cooling,24,60,5.95,0.0,3.34,0.18,0.0,55.63,45.62,99.2,57.57,25,12,Decrease HVAC setpoint,21,1,1,2025,2,1,1,0
B1,5,Zone-2,Room-131,Weekday,Winter,24.05,30.04,66.0,412,0,ON,Cooling,24,10,5.03,0.0,3.03,0.18,0.0,46.12,37.82,96.5,46.8,25,12,Shift non-critical loads,22,1,1,2025,2,1,1,0
B1,4,Zone-1,Room-134,Weekday,Winter,23.08,29.31,63.2,429,0,ON,Cooling,24,10,4.75,0.0,4.42,0.1,0.0,45.7,37.47,92.8,45.04,25,12,Increase HVAC setpoint,23,1,1,2025,2,1,1,0
B1,1,Zone-5,Room-148,Weekday,Winter,24.05,27.1,62.0,449,1,ON,Cooling,24,60,5.53,0.0,2.91,0.1,0.0,44.62,36.59,97.4,44.4,25,12,Dim lighting,0,2,1,2025,3,1,1,0
B1,2,Zone-4,Room-105,Weekday,Winter,23.15,25.68,52.6,583,10,ON,Cooling,24,60,6.38,0.0,2.09,0.1,0.0,50.15,41.12,95.2,49.76,24,8,Reduce ventilation,1,2,1,2025,3,1,1,0
B1,4,Zone-2,Room-111,Weekday,Winter,24.03,25.0,66.5,570,10,ON,Cooling,24,60,6.67,0.0,3.52,0.1,0.0,49.7,40.75,96.6,49.86,24,8,Increase HVAC setpoint,2,2,1,2025,3,1,1,0
B1,3,Zone-8,Room-133,Weekday,Winter,23.06,22.03,51.8,515,6,ON,Ventilation,24,60,5.98,0.0,2.0,0.1,0.0,41.82,34.29,95.0,43.15,25,12,Maintain settings,3,2,1,2025,3,1,1,0
B1,2,Zone-7,Room-123,Weekday,Winter,23.7,19.47,58.0,644,13,ON,Ventilation,24,60,7.43,0.0,1.7,0.1,0.0,47.62,39.05,96.9,47.25,24,8,Shift non-critical loads,4,2,1,2025,3,1,1,0
B1,1,Zone-5,Room-103,Weekday,Winter,23.11,19.11,66.9,408,0,OFF,Ventilation,28,10,4.77,0.0,3.82,0.1,0.0,33.71,27.64,92.2,33.7,25,8,Increase ventilation,5,2,1,2025,3,1,1,0
B1,4,Zone-5,Room-127,Weekday,Winter,23.3,18.23,47.7,398,0,OFF,Ventilation,28,10,5.31,0.0,2.47,0.1,0.0,35.25,28.9,96.1,36.52,25,8,Increase HVAC setpoint,6,2,1,2025,3,1,1,0
B1,3,Zone-8,Room-116,Weekday,Winter,23.59,16.72,46.9,583,9,ON,Ventilation,24,60,6.57,207.1,3.1,0.1,0.52,42.96,35.23,97.3,44.84,25,12,Maintain settings,7,2,1,2025,3,1,1,0
B1,1,Zone-6,Room-146,Weekday,Winter,24.9,16.89,43.4,1231,50,ON,Ventilation,24,90,14.34,400.0,5.27,0.1,1.0,85.94,70.47,74.6,87.09,24,8,Shift non-critical loads,8,2,1,2025,3,1,1,0
B1,2,Zone-7,Room-121,Weekday,Winter,24.51,16.61,53.8,1054,40,ON,Ventilation,24,90,12.69,565.7,3.78,0.15,1.41,73.68,60.42,85.1,74.68,24,8,Increase ventilation,9,2,1,2025,3,1,1,0
B1,4,Zone-1,Room-135,Weekday,Winter,24.4,17.87,53.1,1159,46,ON,Ventilation,24,90,13.38,692.8,3.28,0.15,1.73,78.54,64.4,81.1,79.58,24,8,Dim lighting,10,2,1,2025,3,1,1,0
B1,1,Zone-7,Room-126,Weekday,Winter,24.64,20.09,48.4,1216,49,ON,Ventilation,24,90,14.01,772.7,3.21,0.15,1.93,83.39,68.38,77.6,82.21,24,8,Maintain settings,11,2,1,2025,3,1,1,0
B1,3,Zone-6,Room-148,Weekday,Winter,23.97,19.43,49.3,907,32,ON,Ventilation,24,90,11.18,800.0,3.44,0.15,2.0,68.45,56.13,94.9,68.83,24,8,Reduce ventilation,12,2,1,2025,3,1,1,0
B1,3,Zone-6,Room-128,Weekday,Winter,24.2,21.63,58.0,1084,42,ON,Ventilation,24,90,12.91,772.7,3.15,0.15,1.93,77.15,63.26,84.5,75.9,24,8,Maintain settings,13,2,1,2025,3,1,1,0
B1,5,Zone-3,Room-118,Weekday,Winter,25.2,23.85,45.3,1181,48,ON,Ventilation,24,90,13.8,692.8,3.78,0.15,1.73,83.03,68.08,75.7,84.85,24,8,Maintain settings,14,2,1,2025,3,1,1,0
B1,1,Zone-4,Room-102,Weekday,Winter,25.24,25.75,60.3,1215,49,ON,Cooling,24,90,13.38,565.7,2.11,0.15,1.41,85.83,70.38,72.9,86.03,24,8,Reduce ventilation,15,2,1,2025,3,1,1,0
B1,4,Zone-5,Room-130,Weekday,Winter,24.35,27.26,63.4,1072,40,ON,Cooling,24,90,12.18,400.0,2.55,0.15,1.0,81.94,67.19,83.2,82.68,24,8,Dim lighting,16,2,1,2025,3,1,1,0
B1,1,Zone-7,Room-104,Weekday,Winter,24.27,29.21,44.1,1250,51,ON,Cooling,24,90,14.38,207.1,2.85,0.15,0.52,95.92,78.65,77.0,94.32,24,8,Reduce ventilation,17,2,1,2025,3,1,1,0
B1,2,Zone-2,Room-125,Weekday,Winter,23.34,30.47,54.3,497,5,ON,Cooling,24,60,6.27,0.0,2.59,0.18,0.0,52.2,42.8,95.8,53.59,25,12,Shift non-critical loads,18,2,1,2025,3,1,1,0
B1,3,Zone-2,Room-111,Weekday,Winter,23.64,31.42,47.1,600,10,ON,Cooling,24,60,6.52,0.0,3.04,0.18,0.0,57.67,47.29,97.6,57.09,24,8,Maintain settings,19,2,1,2025,3,1,1,0
B1,3,Zone-7,Room-129,Weekday,Winter,24.05,30.73,48.7,398,0,ON,Cooling,24,10,4.7,0.0,1.37,0.18,0.0,45.01,36.91,99.5,43.65,25,12,Increase ventilation,20,2,1,2025,3,1,1,0
B1,4,Zone-1,Room-147,Weekday,Winter,23.95,30.41,63.5,580,9,ON,Cooling,24,60,6.83,0.0,3.32,0.18,0.0,57.57,47.21,97.0,55.7,25,12,Maintain settings,21,2,1,2025,3,1,1,0
B1,5,Zone-2,Room-131,Weekday,Winter,24.06,31.04,51.3,632,13,ON,Cooling,24,60,6.86,0.0,6.02,0.18,0.0,59.83,49.06,99.4,60.72,24,8,Shift non-critical loads,22,2,1,2025,3,1,1,0
B1,1,Zone-2,Room-124,Weekday,Winter,23.71,27.87,45.4,431,2,ON,Cooling,24,60,5.63,0.0,3.07,0.1,0.0,48.09,39.43,97.6,47.43,25,12,Dim lighting,23,2,1,2025,3,1,1,0
B1,3,Zone-3,Room-126,Weekday,Winter,22.94,26.48,48.0,423,0,OFF,Cooling,28,10,5.17,0.0,1.22,0.1,0.0,39.9,32.72,94.3,39.72,25,8,Increase ventilation,0,3,1,2025,4,1,1,0
B1,2,Zone-3,Room-137,Weekday,Winter,24.11,24.82,45.0,668,17,ON,Ventilation,24,60,7.85,0.0,5.71,0.1,0.0,55.53,45.53,98.4,55.33,24,8,Increase ventilation,1,3,1,2025,4,1,1,0
B1,1,Zone-6,Room-126,Weekday,Winter,23.34,24.91,56.9,559,10,ON,Ventilation,24,60,6.54,0.0,2.06,0.1,0.0,49.98,40.98,95.3,48.66,24,8,Dim lighting,2,3,1,2025,4,1,1,0
B1,1,Zone-1,Room-122,Weekday,Winter,23.43,22.64,58.1,414,0,OFF,Ventilation,28,10,4.67,0.0,5.94,0.1,0.0,35.05,28.74,95.5,34.64,25,8,Reduce ventilation,3,3,1,2025,4,1,1,0
B1,5,Zone-3,Room-140,Weekday,Winter,23.4,19.39,45.0,405,0,OFF,Ventilation,28,10,5.5,0.0,3.83,0.1,0.0,36.91,30.27,96.0,38.45,25,8,Dim lighting,4,3,1,2025,4,1,1,0
B1,5,Zone-8,Room-105,Weekday,Winter,23.53,18.77,55.6,420,0,OFF,Ventilation,28,10,5.42,0.0,2.26,0.1,0.0,35.09,28.77,96.5,33.62,25,8,Increase HVAC setpoint,5,3,1,2025,4,1,1,0
B1,3,Zone-3,Room-149,Weekday,Winter,23.89,18.76,65.8,552,9,ON,Ventilation,24,60,6.71,0.0,3.39,0.1,0.0,44.22,36.26,96.3,44.71,25,12,Reduce ventilation,6,3,1,2025,4,1,1,0
