Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
January,13142958630.631336,11223810000.0,7121250000.0,1144416383.4125524,774732247.2193139,880966095.1337531,880966095.1337531,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
February,11937889372.14445,9883800000.0,6226200000.0,1075972954.7030303,978116417.4418029,550596576.0956125,550596576.0956125,,,,,,,,6226200000.0,,9883800000.0,,3657600000.0 
March,13170501953.801126,10568070000.0,6589350000.0,1237908445.34384,1364523508.457838,418784396.93921506,418784396.93921506,,,,,,,,6589350000.0,,10568070000.0,,3978720000.0 
April,13431455425.602585,10777140000.0,6822900000.0,598822832.5310087,2055492593.0715601,6100922.558996967,6100922.558996967,,,,,,,,6822900000.0,,10777140000.0,,3954240000.0 
May,14340848847.949268,11223810000.0,7121250000.0,644398438.2120206,2472640409.7372518,3063400.3150958945,3063400.3150958945,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
June,12934231263.868431,10121400000.0,6291000000.0,578886268.4013472,2233944995.467054,33595.65829626355,33595.65829626355,,,,,,,,6291000000.0,,10121400000.0,,3830400000.0 
July,14678004798.36135,11223810000.0,7121250000.0,678217225.4493971,2775977572.911952,0.0,0.0,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
August,14295278470.471603,10895940000.0,6855300000.0,652677697.5801597,2746660772.8914485,0.0,0.0,,,,,,,,6855300000.0,,10895940000.0,,4040640000.0 
September,13783785240.499357,10449270000.0,6556950000.0,612709251.8547536,2721805988.6446075,0.0,0.0,,,,,,,,6556950000.0,,10449270000.0,,3892320000.0 
October,14271486484.57261,11223810000.0,7121250000.0,1286105233.4065607,1761571251.1666067,276813401.8790803,276813401.8790803,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
November,12868653892.575659,10449270000.0,6556950000.0,1168121424.5394983,1251262468.0366404,344357321.49976605,344357321.49976605,,,,,,,,6556950000.0,,10449270000.0,,3892320000.0 
December,12968254475.656984,10895940000.0,6855300000.0,1160503393.2826486,911811082.374853,657997206.8286654,657997206.8286654,161823348856.1173,128936070000.0,81238950000.0,10838739548.713848,22048539307.420986,3138712916.9084826,3138712916.9084826,6855300000.0,81238950000.0,10895940000.0,128936070000.0,4040640000.0,47697120000.0 
